time	kind	file	md5	bytes	tables	agent	task
2026-09-22 11:42:09	guard	sys_task_2108_status_20260922-1145.sql	71cf66666895199108e8d4cc962e884c	6758	-	Hermes	dev-20260921-046
2026-09-22 11:42:30	full	jjx_erp_db_backup_20260922-1142_verify-c-20260922.sql	1eee13bde3f7106e516bc9dcd02e1dd2	5454892	114	dahuang	无
2026-09-22 11:45:49	schema	jjx_schema_snapshot_20260922-1145_before-195.sql	fbbee6a59d758877775ccb37153955df	280930	114	Hermes	dev-20260921-046
2026-09-22 11:46:18	guard	sys_task_2108_status_20260922-1148.sql	c6cc71290b6aa2cb9e312ec7da93688b	7491	-	Hermes	dev-20260921-046
2026-09-22 12:04:35	full	jjx_erp_db_backup_20260922-1204_before-196.sql	c6efd71939eb69c3bb9b21db66d477a7	5525616	114	agent	dev-20260922-006
2026-09-22 12:04:43	schema	jjx_schema_snapshot_20260922-1204_before-196.sql	9c8808b003a95872335d2cb1a0a21344	280999	114	Hermes	dev-20260921-046
2026-09-22 12:05:24	guard	sys_task_2108_status_20260922-1206.sql	de3719c3240f9c6bf43bd2edeb590e5e	8193	-	Hermes	dev-20260921-046
2026-09-22 12:06:27	guard	sys_config_record-version_20260922-1206.sql	ff4e8fe583e1078c08a84610457ee132	14494	-	Hermes	dev-20260921-046
2026-09-22 12:06:43	guard	sys_task_2108_status_20260922-1209.sql	17cf5bfb41c016b38de3b29b6abc610c	8823	-	Hermes	dev-20260921-046
2026-09-22 12:11:27	full	jjx_erp_db_backup_20260922-1211_no-hr-employee.sql	07ada8a3c1e2b83a033504c23ceb8d5e	5502714	113	dahuang	dev-20260922-007
2026-09-22 15:15:36	full	jjx_erp_db_backup_20260922-1515_before-198.sql	9b9f7813df0859dfd874bffd462e722f	5560831	114	agent	dev-20260922-008
2026-09-22 15:43:36	guard	sys_task_register_20260922-1540_before-009.sql	eaa4291d17e2784344da3b3b0b3228eb	939900	1	Hermes	dev-20260922-009
2026-09-22 15:46:12	guard	sys_task_2139_status_20260922-1550.sql	4c883939a679eca221178c846ee3a11f	6510	1	Hermes	dev-20260922-009
2026-09-22 15:49:37	guard	sys_task_2139_status_20260922-1552.sql	a40854b197fd1336ceba67547ac532f3	7817	1	Hermes	dev-20260922-009
2026-09-22 16:19:22	guard	sys_task_register_20260922-1600_before-010.sql	ba1ad9a0e98e8c662899258a81f26346	945211	1	Hermes	dev-20260922-010
2026-09-22 16:21:12	guard	sys_task_2143_status_20260922-1605.sql	48b7953f1d4ff2e6ea8e29adfa653e68	6284	1	Hermes	dev-20260922-010
2026-09-22 16:39:31	guard	sys_task_register_20260922-1630_before-011.sql	31a3cab822707405e038d0ab9fc22a6f	947755	1	Hermes	dev-20260922-011
2026-09-22 16:40:11	guard	sys_task_2144_status_20260922-1635.sql	417fcdcd569a179b80be3a8f7f3bb4ff	6412	1	Hermes	dev-20260922-011
2026-09-22 16:51:38	guard	sys_task_register_20260922-1645_before-012.sql	f9bcd70bb199615eecd7213038f0fcaf	952960	1	Hermes	dev-20260922-012
2026-09-22 16:52:42	guard	sys_task_2149_status_20260922-1650.sql	7f0ae62909376a79a0eddc652bdeb84a	6126	1	Hermes	dev-20260922-012
